"Household ID","Consumption (KWh)","Timestamp"
1,6.91,1704145500
2,0.83,1704145500
3,1.96,1704145500
4,4.55,1704145500
5,6.52,1704145500
1,5.78,1704146400
2,7.85,1704146400
3,1.96,1704146400
4,8.64,1704146400
5,7.22,1704146400
1,4.05,1704147300
2,2.67,1704147300
3,7.74,1704147300
4,8.43,1704147300
5,4.59,1704147300
1,5.49,1704148200
2,6.01,1704148200
3,1.61,1704148200
4,2.97,1704148200
5,8.96,1704148200
1,2.36,1704149100
2,0.32,1704149100
3,4.37,1704149100
4,8.5,1704149100
5,1.47,1704149100
1,1.15,1704150000
2,5.53,1704150000
3,2.66,1704150000
4,4.8,1704150000
5,3.89,1704150000
1,0.49,1704150900
2,2.64,1704150900
3,8.66,1704150900
4,4.66,1704150900
5,1.61,1704150900
1,4.17,1704151800
2,0.17,1704151800
3,8.19,1704151800
4,5.61,1704151800
5,7.25,1704151800
1,2.86,1704152700
2,1.3,1704152700
3,4.21,1704152700
4,2.44,1704152700
5,7.59,1704152700
1,4.57,1704153600
2,2.78,1704153600
3,4.7,1704153600
4,2.57,1704153600
5,5.35,1704153600
1,3.03,1704154500
2,3.82,1704154500
3,3.21,1704154500
4,5.53,1704154500
5,4.19,1704154500
1,5.53,1704155400
2,4.77,1704155400
3,0.66,1704155400
4,7.72,1704155400
5,2.39,1704155400
1,1.83,1704156300
2,1.33,1704156300
3,0.92,1704156300
4,7.2,1704156300
5,8.89,1704156300
1,5.98,1704157200
2,6.8,1704157200
3,2.55,1704157200
4,2.34,1704157200
5,8.38,1704157200
1,3.87,1704158100
2,7.75,1704158100
3,8.07,1704158100
4,7.64,1704158100
5,0.47,1704158100
1,0.2,1704159000
2,0.97,1704159000
3,6.99,1704159000
4,0.4,1704159000
5,6.75,1704159000
1,1.43,1704159900
2,4.78,1704159900
3,4.9,1704159900
4,1.16,1704159900
5,8.31,1704159900
1,2.85,1704160800
2,4.1,1704160800
3,2.36,1704160800
4,5.99,1704160800
5,3.73,1704160800
1,8.78,1704161700
2,3.41,1704161700
3,1.29,1704161700
4,6.26,1704161700
5,2.18,1704161700
1,4.47,1704162600
2,8.95,1704162600
3,7.92,1704162600
4,7.16,1704162600
5,0.15,1704162600
1,1.37,1704163500
2,4.73,1704163500
3,8.09,1704163500
4,4.94,1704163500
5,7.07,1704163500
1,0.33,1704164400
2,7.87,1704164400
3,3.1,1704164400
4,7.53,1704164400
5,1.15,1704164400
1,4.63,1704165300
2,8.8,1704165300
3,4.25,1704165300
4,6.3,1704165300
5,8,1704165300
1,5.76,1704166200
2,3.7,1704166200
3,0.42,1704166200
4,1.25,1704166200
5,0.43,1704166200
1,5.17,1704167100
2,0.05,1704167100
3,2.19,1704167100
4,0.95,1704167100
5,4.24,1704167100
1,8.88,1704168000
2,2.93,1704168000
3,0.99,1704168000
4,1.51,1704168000
5,2.62,1704168000
1,6.96,1704168900
2,7.62,1704168900
3,1.54,1704168900
4,4.53,1704168900
5,4.78,1704168900
1,8.24,1704169800
2,4.7,1704169800
3,4.98,1704169800
4,6.18,1704169800
5,1.09,1704169800
1,4.63,1704170700
2,3.6,1704170700
3,0.19,1704170700
4,8.21,1704170700
5,8.57,1704170700
1,8.51,1704171600
2,7.36,1704171600
3,4.3,1704171600
4,5.38,1704171600
5,8.15,1704171600
1,8.76,1704172500
2,0.24,1704172500
3,8.25,1704172500
4,6.64,1704172500
5,8.39,1704172500
1,5.22,1704173400
2,7.47,1704173400
3,4.36,1704173400
4,8.1,1704173400
5,7.86,1704173400
1,6.83,1704174300
2,0.95,1704174300
3,0.97,1704174300
4,3.85,1704174300
5,3.07,1704174300
1,7.49,1704175200
2,8.32,1704175200
3,2.43,1704175200
4,8.05,1704175200
5,1.25,1704175200
1,0.43,1704176100
2,2.41,1704176100
3,6.87,1704176100
4,7.91,1704176100
5,2.65,1704176100
1,4.57,1704177000
2,2.28,1704177000
3,4.19,1704177000
4,4.16,1704177000
5,4.06,1704177000
1,6.87,1704177900
2,6.46,1704177900
3,3.84,1704177900
4,4.06,1704177900
5,0.16,1704177900
1,3.07,1704178800
2,7.21,1704178800
3,1.92,1704178800
4,1.26,1704178800
5,6.81,1704178800
1,8.63,1704179700
2,6.3,1704179700
3,2.86,1704179700
4,4.21,1704179700
5,2.48,1704179700
1,1.68,1704180600
2,6.8,1704180600
3,5.34,1704180600
4,0.76,1704180600
5,0.87,1704180600
1,4,1704181500
2,2.67,1704181500
3,8.23,1704181500
4,6.16,1704181500
5,3.64,1704181500
1,7.11,1704182400
2,2.98,1704182400
3,6.33,1704182400
4,7.92,1704182400
5,3.76,1704182400
1,0.15,1704183300
2,5.88,1704183300
3,4.19,1704183300
4,2.08,1704183300
5,2.97,1704183300
1,2.35,1704184200
2,7.22,1704184200
3,3.7,1704184200
4,3.73,1704184200
5,0.72,1704184200
1,4.84,1704185100
2,7.89,1704185100
3,6.64,1704185100
4,3.85,1704185100
5,3.1,1704185100
1,6.26,1704186000
2,5.91,1704186000
3,8.39,1704186000
4,4.89,1704186000
5,2.82,1704186000
1,3.89,1704186900
2,0.71,1704186900
3,3.49,1704186900
4,7.03,1704186900
5,5.5,1704186900
1,8.31,1704187800
2,8.47,1704187800
3,6.42,1704187800
4,3.09,1704187800
5,5.4,1704187800
1,0.12,1704188700
2,7.06,1704188700
3,0.4,1704188700
4,5.81,1704188700
5,3.15,1704188700
1,8.03,1704189600
2,8.97,1704189600
3,6.8,1704189600
4,6.2,1704189600
5,6.24,1704189600
1,8.78,1704190500
2,8.06,1704190500
3,4.32,1704190500
4,2.5,1704190500
5,8.62,1704190500
1,5.76,1704191400
2,8.57,1704191400
3,4.26,1704191400
4,5,1704191400
5,4.26,1704191400
1,8.43,1704192300
2,7.17,1704192300
3,7.26,1704192300
4,7.66,1704192300
5,6.25,1704192300
1,3.34,1704193200
2,5.16,1704193200
3,1.85,1704193200
4,6.96,1704193200
5,4.12,1704193200
1,2.27,1704194100
2,8.68,1704194100
3,8.3,1704194100
4,5.47,1704194100
5,6.96,1704194100
1,2.97,1704195000
2,4.92,1704195000
3,1.68,1704195000
4,7.63,1704195000
5,6.67,1704195000
1,7.39,1704195900
2,1.46,1704195900
3,0.34,1704195900
4,5.54,1704195900
5,6.5,1704195900
1,3.6,1704196800
2,2.11,1704196800
3,1.09,1704196800
4,8.36,1704196800
5,2.63,1704196800
1,5.58,1704197700
2,5.89,1704197700
3,8.74,1704197700
4,7.73,1704197700
5,0.57,1704197700
1,2.25,1704198600
2,5.17,1704198600
3,6.04,1704198600
4,6.32,1704198600
5,7.87,1704198600
1,0.99,1704199500
2,0.91,1704199500
3,4.68,1704199500
4,3.24,1704199500
5,5.57,1704199500
1,2.69,1704200400
2,7.91,1704200400
3,3.05,1704200400
4,2.05,1704200400
5,3.51,1704200400
1,5.49,1704201300
2,2.53,1704201300
3,3.2,1704201300
4,1.65,1704201300
5,5.51,1704201300
1,7.22,1704202200
2,3.11,1704202200
3,7.8,1704202200
4,0.48,1704202200
5,6.47,1704202200
1,7.42,1704203100
2,4.49,1704203100
3,5.71,1704203100
4,6.18,1704203100
5,2.89,1704203100
1,8.98,1704204000
2,7.49,1704204000
3,1.26,1704204000
4,4.2,1704204000
5,0.76,1704204000
1,2.87,1704204900
2,0.26,1704204900
3,3.15,1704204900
4,1.97,1704204900
5,6.24,1704204900
1,2.03,1704205800
2,7.25,1704205800
3,6.2,1704205800
4,6.95,1704205800
5,6.79,1704205800
1,2.04,1704206700
2,8.83,1704206700
3,1.72,1704206700
4,6.01,1704206700
5,2.03,1704206700
1,5.47,1704207600
2,7.67,1704207600
3,3.48,1704207600
4,2.16,1704207600
5,6.25,1704207600
1,1.87,1704208500
2,2.69,1704208500
3,8.85,1704208500
4,3.67,1704208500
5,3.66,1704208500
1,7,1704209400
2,7.8,1704209400
3,3.81,1704209400
4,7.12,1704209400
5,2.89,1704209400
1,1.67,1704210300
2,4.38,1704210300
3,5.23,1704210300
4,0.23,1704210300
5,8.65,1704210300
1,4.52,1704211200
2,3.76,1704211200
3,2.33,1704211200
4,5.7,1704211200
5,8.13,1704211200
1,4.16,1704212100
2,2.56,1704212100
3,2.64,1704212100
4,6.29,1704212100
5,5.31,1704212100
1,8.07,1704213000
2,8.16,1704213000
3,2.65,1704213000
4,6.02,1704213000
5,7.45,1704213000
1,2.71,1704213900
2,4.95,1704213900
3,7.49,1704213900
4,8.79,1704213900
5,0.6,1704213900
1,0.18,1704214800
2,2.39,1704214800
3,8.73,1704214800
4,7.71,1704214800
5,3,1704214800
1,7.79,1704215700
2,1.26,1704215700
3,5.94,1704215700
4,6.2,1704215700
5,4.92,1704215700
1,0.37,1704216600
2,4.54,1704216600
3,7.17,1704216600
4,3.67,1704216600
5,1.65,1704216600
1,7.56,1704217500
2,4.62,1704217500
3,3.75,1704217500
4,3.15,1704217500
5,7.79,1704217500
1,0.95,1704218400
2,8.02,1704218400
3,5.95,1704218400
4,0.79,1704218400
5,2.87,1704218400
1,0.44,1704219300
2,1.29,1704219300
3,3.55,1704219300
4,3.55,1704219300
5,2.78,1704219300
1,8.69,1704220200
2,4.26,1704220200
3,5.44,1704220200
4,5.95,1704220200
5,5.49,1704220200
1,7.24,1704221100
2,2.05,1704221100
3,6.54,1704221100
4,8.56,1704221100
5,0.74,1704221100
1,3.53,1704222000
2,7.16,1704222000
3,6.38,1704222000
4,2.93,1704222000
5,0.51,1704222000
1,1.46,1704222900
2,4.57,1704222900
3,6.11,1704222900
4,3.37,1704222900
5,4.44,1704222900
1,4.53,1704223800
2,2.46,1704223800
3,7.51,1704223800
4,3.16,1704223800
5,7.57,1704223800
1,2.89,1704224700
2,1.03,1704224700
3,5.66,1704224700
4,5.04,1704224700
5,2.68,1704224700
1,3.12,1704225600
2,5.07,1704225600
3,7.52,1704225600
4,8,1704225600
5,6.58,1704225600
1,6.45,1704226500
2,2.32,1704226500
3,6.27,1704226500
4,0.49,1704226500
5,3.56,1704226500
1,7.46,1704227400
2,3.28,1704227400
3,1.57,1704227400
4,6.62,1704227400
5,1.42,1704227400
1,0.13,1704228300
2,4.92,1704228300
3,8.88,1704228300
4,3.82,1704228300
5,3.56,1704228300
1,4.87,1704229200
2,2.8,1704229200
3,2.42,1704229200
4,2.18,1704229200
5,4.14,1704229200
1,5.92,1704230100
2,5.73,1704230100
3,8.57,1704230100
4,3.33,1704230100
5,6.1,1704230100
1,8.76,1704231000
2,1.72,1704231000
3,1.45,1704231000
4,8.22,1704231000
5,4.63,1704231000
1,0.72,1704231900
2,3.2,1704231900
3,3.34,1704231900
4,0.91,1704231900
5,5.34,1704231900
1,5.19,1704232800
2,0.09,1704232800
3,4.63,1704232800
4,1.44,1704232800
5,0.51,1704232800
1,8.58,1704233700
2,5.14,1704233700
3,3.12,1704233700
4,1.83,1704233700
5,7.44,1704233700
1,3.47,1704234600
2,4.91,1704234600
3,5.17,1704234600
4,2.93,1704234600
5,8.55,1704234600
1,8.9,1704235500
2,7.49,1704235500
3,0.35,1704235500
4,5.38,1704235500
5,3.3,1704235500
1,6.94,1704236400
2,2.35,1704236400
3,3.21,1704236400
4,7.56,1704236400
5,7.85,1704236400
1,3.63,1704237300
2,4.63,1704237300
3,7.57,1704237300
4,1.83,1704237300
5,0.72,1704237300
1,0.48,1704238200
2,2.37,1704238200
3,0.95,1704238200
4,5.39,1704238200
5,4.07,1704238200
1,4.21,1704239100
2,8.65,1704239100
3,3.71,1704239100
4,5.66,1704239100
5,5.41,1704239100
1,3.46,1704240000
2,4.96,1704240000
3,3.11,1704240000
4,8.76,1704240000
5,0.91,1704240000
1,4.47,1704240900
2,5.39,1704240900
3,6.68,1704240900
4,7.18,1704240900
5,3.69,1704240900
1,1.41,1704241800
2,5.09,1704241800
3,6.56,1704241800
4,6.2,1704241800
5,3.9,1704241800
1,8.95,1704242700
2,6.94,1704242700
3,6.01,1704242700
4,4.16,1704242700
5,4.74,1704242700
1,4.71,1704243600
2,6.72,1704243600
3,5.16,1704243600
4,5.17,1704243600
5,1.16,1704243600
1,1.56,1704244500
2,3.97,1704244500
3,4.57,1704244500
4,0.49,1704244500
5,6.4,1704244500
1,0.27,1704245400
2,6.1,1704245400
3,5.92,1704245400
4,2,1704245400
5,1.95,1704245400
1,5.06,1704246300
2,1.82,1704246300
3,2.17,1704246300
4,4.19,1704246300
5,1.34,1704246300
1,1.24,1704247200
2,4.11,1704247200
3,6.14,1704247200
4,3.44,1704247200
5,5,1704247200
1,1.85,1704248100
2,5.19,1704248100
3,4.49,1704248100
4,2.06,1704248100
5,0.05,1704248100
1,6.44,1704249000
2,7.74,1704249000
3,1.79,1704249000
4,7.79,1704249000
5,3.63,1704249000
1,6.5,1704249900
2,5.85,1704249900
3,3.84,1704249900
4,0.2,1704249900
5,5.75,1704249900
1,0.73,1704250800
2,1.95,1704250800
3,4.28,1704250800
4,4.51,1704250800
5,2.83,1704250800
1,0.07,1704251700
2,3.69,1704251700
3,3.22,1704251700
4,8.02,1704251700
5,0.05,1704251700
1,2.79,1704252600
2,7.42,1704252600
3,7.1,1704252600
4,4.34,1704252600
5,8.69,1704252600
1,8.05,1704253500
2,6.73,1704253500
3,5.75,1704253500
4,5.21,1704253500
5,0.37,1704253500
1,2.51,1704254400
2,7.25,1704254400
3,4.75,1704254400
4,0.96,1704254400
5,3.27,1704254400
1,0.75,1704255300
2,3.26,1704255300
3,2.28,1704255300
4,8.86,1704255300
5,0.52,1704255300
1,6.88,1704256200
2,8.95,1704256200
3,0.56,1704256200
4,0.15,1704256200
5,5.92,1704256200
1,0.03,1704257100
2,6.22,1704257100
3,1.26,1704257100
4,7.29,1704257100
5,2.53,1704257100
1,5.61,1704258000
2,8.55,1704258000
3,3.76,1704258000
4,2.15,1704258000
5,0.75,1704258000
1,4.51,1704258900
2,6.31,1704258900
3,4.75,1704258900
4,4.05,1704258900
5,8.94,1704258900
1,5.83,1704259800
2,5.73,1704259800
3,7.1,1704259800
4,0.69,1704259800
5,4.74,1704259800
1,8.48,1704260700
2,7.46,1704260700
3,4.6,1704260700
4,5.19,1704260700
5,7.95,1704260700
1,5.86,1704261600
2,4.74,1704261600
3,5.74,1704261600
4,8.05,1704261600
5,2.6,1704261600
1,1.89,1704262500
2,0.71,1704262500
3,3.82,1704262500
4,2.78,1704262500
5,0.96,1704262500
1,5.24,1704263400
2,1.03,1704263400
3,8.92,1704263400
4,6.17,1704263400
5,7.45,1704263400
1,0.23,1704264300
2,5.89,1704264300
3,4.62,1704264300
4,4.11,1704264300
5,7.82,1704264300
1,4.41,1704265200
2,7.18,1704265200
3,0.08,1704265200
4,4.36,1704265200
5,7.89,1704265200
1,1.27,1704266100
2,6.93,1704266100
3,6.61,1704266100
4,1.76,1704266100
5,0.99,1704266100
1,3.96,1704267000
2,0.49,1704267000
3,2.83,1704267000
4,0.07,1704267000
5,3.58,1704267000
1,2.81,1704267900
2,4.07,1704267900
3,6.23,1704267900
4,7.44,1704267900
5,7.55,1704267900
1,2.87,1704268800
2,6.67,1704268800
3,1.47,1704268800
4,0.23,1704268800
5,5.96,1704268800
1,7.6,1704269700
2,1.4,1704269700
3,3.44,1704269700
4,5.87,1704269700
5,4.94,1704269700
1,5.26,1704270600
2,5.82,1704270600
3,0.39,1704270600
4,4.67,1704270600
5,1.97,1704270600
1,8.9,1704271500
2,1.92,1704271500
3,2.3,1704271500
4,6.17,1704271500
5,6.09,1704271500
1,4.75,1704272400
2,2.76,1704272400
3,2.74,1704272400
4,0.23,1704272400
5,3.12,1704272400
1,5.42,1704273300
2,1.44,1704273300
3,4.09,1704273300
4,6.4,1704273300
5,6.45,1704273300
1,2.21,1704274200
2,0.48,1704274200
3,2.15,1704274200
4,3.99,1704274200
5,2.27,1704274200
1,1.62,1704275100
2,8.26,1704275100
3,6.5,1704275100
4,0.42,1704275100
5,5.22,1704275100
1,4.73,1704276000
2,2.03,1704276000
3,6.34,1704276000
4,4.21,1704276000
5,4.72,1704276000
1,4.14,1704276900
2,4.96,1704276900
3,3.71,1704276900
4,5.08,1704276900
5,2.98,1704276900
1,0.81,1704277800
2,7.53,1704277800
3,4.07,1704277800
4,2.83,1704277800
5,2.73,1704277800
1,0.58,1704278700
2,2.83,1704278700
3,6.74,1704278700
4,0.91,1704278700
5,0.54,1704278700
1,4.24,1704279600
2,0.5,1704279600
3,6.14,1704279600
4,4.22,1704279600
5,3.29,1704279600
1,5.45,1704280500
2,3.1,1704280500
3,3.57,1704280500
4,1.48,1704280500
5,2.36,1704280500
1,1.7,1704281400
2,5.76,1704281400
3,5.4,1704281400
4,7.49,1704281400
5,6.82,1704281400
1,8.72,1704282300
2,7.34,1704282300
3,8.78,1704282300
4,7.25,1704282300
5,5.84,1704282300
1,0.21,1704283200
2,8.66,1704283200
3,1.98,1704283200
4,5.25,1704283200
5,7.63,1704283200
1,8.16,1704284100
2,3.71,1704284100
3,4.33,1704284100
4,3.97,1704284100
5,6.06,1704284100
1,6.97,1704285000
2,8,1704285000
3,7.38,1704285000
4,1.07,1704285000
5,4.64,1704285000
1,5.08,1704285900
2,6.64,1704285900
3,3.09,1704285900
4,5.82,1704285900
5,2.51,1704285900
1,5.87,1704286800
2,3.54,1704286800
3,7.25,1704286800
4,4.24,1704286800
5,6.98,1704286800
1,6.5,1704287700
2,1.59,1704287700
3,3.44,1704287700
4,1.51,1704287700
5,3.94,1704287700
1,8.07,1704288600
2,5.47,1704288600
3,3.96,1704288600
4,3.01,1704288600
5,4.48,1704288600
1,0.64,1704289500
2,2.27,1704289500
3,4.75,1704289500
4,8.18,1704289500
5,8.24,1704289500
1,1.84,1704290400
2,0.53,1704290400
3,3.19,1704290400
4,1.85,1704290400
5,2.93,1704290400
1,5.92,1704291300
2,7.35,1704291300
3,5.01,1704291300
4,7.34,1704291300
5,8.15,1704291300
1,2.05,1704292200
